Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,65 to 74 years,2013,gs1datot,626.6422623429863,10.171382136667038,501.71772680261296,751.5667978833598,640,Total amount of donations,Average total amount of donations,AT,NA,
Age group,75 years and over,2013,gs1datot,580.4715509651605,7.06272440236293,500.11869997235493,660.8244019579661,414,Total amount of donations,Average total amount of donations,AT,NA,
Age group,15 to 24 years,2013,gs1datot,116.14454335858682,22.636500868630137,64.61501153340889,167.67407518376473,70,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,25 to 34 years,2013,gs1datot,403.88479877022706,20.509325664487243,241.53304664586594,566.2365508945882,159,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,35 to 44 years,2013,gs1datot,533.1889360035616,18.083862247520628,344.206949352151,722.1709226549722,231,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,45 to 54 years,2013,gs1datot,1315.6197436350556,19.789666132233428,805.3298810264903,1825.9096062436208,259,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,55 to 64 years,2013,gs1datot,808.1525376741055,11.107954727467364,632.2081034468935,984.0969719013175,320,Total amount of donations,Average total amount of donations,BC,NA,
Age group,65 to 74 years,2013,gs1datot,803.0843006829587,18.253107695298922,515.7774092276318,1090.3911921382855,272,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,75 years and over,2013,gs1datot,703.8903960505387,14.544243219343226,503.23804200197236,904.542750099105,185,Total amount of donations,Average total amount of donations,BC,NA,
Age group,15 to 24 years,2013,gs1datot,296.1081794273904,25.620595446491606,147.4161414079649,444.80021744681585,166,Total amount of donations,Average total amount of donations,ON,NA,*
Age group,25 to 34 years,2013,gs1datot,359.66496047164105,16.32484553907994,244.586166570172,474.7437543731101,307,Total amount of donations,Average total amount of donations,ON,NA,
Age group,35 to 44 years,2013,gs1datot,437.1935028552713,13.797105463286593,318.96837992111386,555.4186257894287,452,Total amount of donations,Average total amount of donations,ON,NA,
Age group,45 to 54 years,2013,gs1datot,520.2496506825815,9.53982046570771,422.9749081704117,617.5243931947514,501,Total amount of donations,Average total amount of donations,ON,NA,
