refDate,geo,valNormP_TotNPOs,valNormP_BusNPOs,valNormP_CommNPOs,valNormP_GovNPOs,valNorm_TotNPOs,valNorm_BusNPOs,valNorm_CommNPOs,valNorm_GovNPOs,label_TotNPOs,label_BusNPOs,label_CommNPOs,label_GovNPOs
2013-01-01,NT,1.2937062937062938,1.3258426966292134,1.2023809523809523,1.31640625,555000000,118000000,101000000,337000000,$555.0M,$118.0M,$101.0M,$337.0M
2013-01-01,NU,1.36986301369863,1.488888888888889,1.4090909090909092,1.1714285714285715,200000000,67000000,93000000,41000000,$200.0M,$67.0M,$93.0M,$41.0M
2013-01-01,ON,1.2821057354370746,1.3482077542062911,1.1790898051234604,1.3108266879984,85728000000,12901000000,20390000000,52437000000,$85.7B,$12.9B,$20.4B,$52.4B
2013-01-01,PE,1.347275031685678,1.1590909090909092,1.2456140350877194,1.393526405451448,1063000000,102000000,142000000,818000000,$1.1B,$102.0M,$142.0M,$818.0M
2013-01-01,QC,1.2745987524962403,1.3261072696692207,1.271450075263422,1.2649237472766885,51699000000,7096000000,12670000000,31933000000,$51.7B,$7.1B,$12.7B,$31.9B
2013-01-01,SK,1.3282941075416594,1.2210200927357033,1.5472837022132797,1.2930622009569377,7732000000,790000000,1538000000,5405000000,$7.7B,$790.0M,$1.5B,$5.4B
2013-01-01,YT,1.305084745762712,1.2083333333333333,1.423728813559322,1.2446808510638299,231000000,29000000,84000000,117000000,$231.0M,$29.0M,$84.0M,$117.0M
2014-01-01,AB,1.3231041477836765,1.3902360168121566,1.2957379490042806,1.31889281828074,30655000000,4300000000,6962000000,19393000000,$30.7B,$4.3B,$7.0B,$19.4B
2014-01-01,BC,1.2968434393441324,1.2759244892681665,1.1899701715137956,1.3376826070670496,32744000000,4934000000,6383000000,21427000000,$32.7B,$4.9B,$6.4B,$21.4B
2014-01-01,CA,1.2896544127770893,1.2075780563762677,1.2613912799401197,1.3183420199161517,234169000000,30245000000,53927000000,149997000000,$234.2B,$30.2B,$53.9B,$150.0B
2014-01-01,MB,1.3277508217248395,1.2755610972568578,1.4660421545667448,1.2963307013469578,8483000000,1023000000,1878000000,5582000000,$8.5B,$1.0B,$1.9B,$5.6B
2014-01-01,NB,1.280977312390925,1.2545126353790614,1.206201550387597,1.3090665475658776,4404000000,695000000,778000000,2931000000,$4.4B,$695.0M,$778.0M,$2.9B
2014-01-01,NL,1.3067580193086266,1.192200557103064,1.4550898203592815,1.3034154090548054,4196000000,428000000,486000000,3282000000,$4.2B,$428.0M,$486.0M,$3.3B
2014-01-01,NS,1.2671052631578947,1.1162790697674418,1.323076923076923,1.2723475355054303,6741000000,624000000,1548000000,4569000000,$6.7B,$624.0M,$1.5B,$4.6B
2014-01-01,NT,1.2703962703962703,1.1685393258426966,1.2142857142857142,1.32421875,545000000,104000000,102000000,339000000,$545.0M,$104.0M,$102.0M,$339.0M
2014-01-01,NU,1.3356164383561644,1.3111111111111111,1.4393939393939394,1.1714285714285715,195000000,59000000,95000000,41000000,$195.0M,$59.0M,$95.0M,$41.0M
2014-01-01,ON,1.2817617587676662,1.1768209844288848,1.2089862950326722,1.3382996275279353,85705000000,11261000000,20907000000,53536000000,$85.7B,$11.3B,$20.9B,$53.5B
2014-01-01,PE,1.3548795944233207,1.0340909090909092,1.3070175438596492,1.4122657580919933,1069000000,91000000,149000000,829000000,$1.1B,$91.0M,$149.0M,$829.0M
2014-01-01,QC,1.268090037227879,1.1227807886376377,1.3007526342197693,1.2859576153693801,51435000000,6008000000,12962000000,32464000000,$51.4B,$6.0B,$13.0B,$32.5B
2014-01-01,SK,1.3315581515203574,1.0695517774343122,1.585513078470825,1.3114832535885168,7751000000,692000000,1576000000,5482000000,$7.8B,$692.0M,$1.6B,$5.5B
2014-01-01,YT,1.344632768361582,1.0833333333333333,1.5593220338983051,1.2872340425531914,238000000,26000000,92000000,121000000,$238.0M,$26.0M,$92.0M,$121.0M
2015-01-01,AB,1.381242177046916,1.7158098933074686,1.3009491903964265,1.3401795429815015,32002000000,5307000000,6990000000,19706000000,$32.0B,$5.3B,$7.0B,$19.7B
2015-01-01,BC,1.3909461760861817,1.6252909231962762,1.226882923191648,1.3893120239730303,35120000000,6285000000,6581000000,22254000000,$35.1B,$6.3B,$6.6B,$22.3B
2015-01-01,CA,1.3548781495249897,1.494530064680987,1.2697885479041917,1.3561088796505445,246012000000,37432000000,54286000000,154294000000,$246.0B,$37.4B,$54.3B,$154.3B
2015-01-01,MB,1.4066364063233683,1.4688279301745637,1.515222482435597,1.3625174175568973,8987000000,1178000000,1941000000,5867000000,$9.0B,$1.2B,$1.9B,$5.9B
2015-01-01,NB,1.3286794648051192,1.5342960288808665,1.213953488372093,1.3112996873604288,4568000000,850000000,783000000,2936000000,$4.6B,$850.0M,$783.0M,$2.9B
2015-01-01,NL,1.3646838990968546,1.4874651810584958,1.4850299401197604,1.3312152501985703,4382000000,534000000,496000000,3352000000,$4.4B,$534.0M,$496.0M,$3.4B
2015-01-01,NS,1.3225563909774436,1.4275491949910555,1.3299145299145299,1.3038150932887775,7036000000,798000000,1556000000,4682000000,$7.0B,$798.0M,$1.6B,$4.7B
2015-01-01,NT,1.372960372960373,1.4719101123595506,1.2857142857142858,1.3671875,589000000,131000000,108000000,350000000,$589.0M,$131.0M,$108.0M,$350.0M
2015-01-01,NU,1.3904109589041096,1.4222222222222223,1.4393939393939394,1.2571428571428571,203000000,64000000,95000000,44000000,$203.0M,$64.0M,$95.0M,$44.0M
2015-01-01,ON,1.343827114334854,1.4443515518862995,1.2011796680737872,1.3814463915206359,89855000000,13821000000,20772000000,55262000000,$89.9B,$13.8B,$20.8B,$55.3B
2015-01-01,PE,1.409378960709759,1.25,1.2894736842105263,1.4565587734241907,1112000000,110000000,147000000,855000000,$1.1B,$110.0M,$147.0M,$855.0M
2015-01-01,QC,1.322847069845418,1.3881517473369465,1.312393376818866,1.3130917013269954,53656000000,7428000000,13078000000,33149000000,$53.7B,$7.4B,$13.1B,$33.1B
2015-01-01,SK,1.415907919601443,1.3833075734157652,1.6468812877263581,1.3660287081339713,8242000000,895000000,1637000000,5710000000,$8.2B,$895.0M,$1.6B,$5.7B
2015-01-01,YT,1.4180790960451977,1.2916666666666667,1.576271186440678,1.351063829787234,251000000,31000000,93000000,127000000,$251.0M,$31.0M,$93.0M,$127.0M
2016-01-01,AB,1.4772756700763952,1.6799224054316197,1.2685650474595198,1.5108133841131666,34227000000,5196000000,6816000000,22215000000,$34.2B,$5.2B,$6.8B,$22.2B
2016-01-01,BC,1.5019208681531941,1.795707266614947,1.3570096942580163,1.4795230365838432,37922000000,6944000000,7279000000,23699000000,$37.9B,$6.9B,$7.3B,$23.7B
2016-01-01,CA,1.4037505163155721,1.5941866964784797,1.3187921032934131,1.3937526916687908,254886000000,39928000000,56381000000,158577000000,$254.9B,$39.9B,$56.4B,$158.6B
2016-01-01,MB,1.3222726561277196,1.5124688279301746,1.6018735362997658,1.2036692986530422,8448000000,1213000000,2052000000,5183000000,$8.4B,$1.2B,$2.1B,$5.2B
2016-01-01,NB,1.3502036067481094,1.6227436823104693,1.296124031007752,1.2983474765520322,4642000000,899000000,836000000,2907000000,$4.6B,$899.0M,$836.0M,$2.9B
2016-01-01,NL,1.5331672376206789,1.6935933147632312,1.5209580838323353,1.511914217633042,4923000000,608000000,508000000,3807000000,$4.9B,$608.0M,$508.0M,$3.8B
2016-01-01,NS,1.21296992481203,1.8014311270125223,1.3521367521367522,1.0760233918128654,6453000000,1007000000,1582000000,3864000000,$6.5B,$1.0B,$1.6B,$3.9B
2016-01-01,NT,1.529137529137529,1.5730337078651686,1.2738095238095237,1.59765625,656000000,140000000,107000000,409000000,$656.0M,$140.0M,$107.0M,$409.0M
2016-01-01,NU,1.4589041095890412,1.5333333333333334,1.5454545454545454,1.2,213000000,69000000,102000000,42000000,$213.0M,$69.0M,$102.0M,$42.0M
2016-01-01,ON,1.333747102370448,1.5111296896227402,1.2599895911640548,1.3232007599430042,89181000000,14460000000,21789000000,52932000000,$89.2B,$14.5B,$21.8B,$52.9B
2016-01-01,PE,1.5944233206590621,1.3295454545454546,1.3508771929824561,1.6814310051107326,1258000000,117000000,154000000,987000000,$1.3B,$117.0M,$154.0M,$987.0M
2016-01-01,QC,1.446142846576761,1.5567183703980565,1.3439036628198695,1.4630619924737571,58657000000,8330000000,13392000000,36935000000,$58.7B,$8.3B,$13.4B,$36.9B
2016-01-01,SK,1.3800034358357671,1.4080370942812983,1.6680080482897384,1.307177033492823,8033000000,911000000,1658000000,5464000000,$8.0B,$911.0M,$1.7B,$5.5B
2016-01-01,YT,1.4858757062146892,1.4166666666666667,1.6271186440677967,1.4148936170212767,263000000,34000000,96000000,133000000,$263.0M,$34.0M,$96.0M,$133.0M
2017-01-01,AB,1.4294963097242004,1.6954413191076625,1.343755816117625,1.4047878128400435,33120000000,5244000000,7220000000,20656000000,$33.1B,$5.2B,$7.2B,$20.7B
2017-01-01,BC,1.5398629648698958,1.9164727178691492,1.4148023862788963,1.4908228243226371,38880000000,7411000000,7589000000,23880000000,$38.9B,$7.4B,$7.6B,$23.9B
2017-01-01,CA,1.4707586396805727,1.6448135430807314,1.4353714446107784,1.4457403517406857,267053000000,41196000000,61365000000,164492000000,$267.1B,$41.2B,$61.4B,$164.5B
2017-01-01,MB,1.4985130693379245,1.4962593516209477,1.7041373926619827,1.4377612633534602,9574000000,1200000000,2183000000,6191000000,$9.6B,$1.2B,$2.2B,$6.2B
