,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
76,76,77,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,139.158472455706,9.56154164864137,113.07978887557,165.237156035842,657,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
77,77,78,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,156.277231210749,9.55529950172523,127.009564330305,185.544898091193,440,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
78,78,79,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,112.862400355427,8.24157720517914,94.6315173109516,131.093283399903,821,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
79,79,80,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,126.383159667224,8.38661603998223,105.608971537465,147.157347796984,413,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
80,80,81,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,147.662199638512,16.5824366248646,99.6705397918117,195.653859485213,299,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,*
81,81,82,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,170.595727540877,13.0612808740142,126.923835255855,214.267619825898,238,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
82,82,83,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,148.815127534447,8.32743792953157,124.526298600218,173.103956468675,993,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
83,83,84,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,197.019502003216,9.24965273100282,161.301863629872,232.737140376561,941,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
84,84,85,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,133.526255114343,8.36471851748861,111.635230415423,155.417279813262,509,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
85,85,86,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,154.84650732396,6.5384770256473,135.002649485671,174.690365162248,496,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
86,86,87,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,160.1809077487,9.59633947211023,130.053314153412,190.308501343988,894,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
87,87,88,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,169.002412083751,6.99721458927757,145.824933571455,192.179890596047,809,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
88,88,89,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,109.859170689953,7.50765391961872,93.6936889245767,126.024652455328,553,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
89,89,90,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,183.709765598727,9.65777780464757,148.935533899887,218.483997297566,543,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
90,90,91,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,101.604788875419,8.2068746768672,85.2614769232755,117.948100827562,758,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
91,91,92,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,145.227910080053,9.18709773147355,119.077619743039,171.378200417066,480,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
92,92,93,Améliorer ses possibilités d'emploi,Do not report motivation,2013,vd1dhrs,156.327691549502,11.9176037696511,119.812553408284,192.84282969072,450,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
93,93,94,Améliorer ses possibilités d'emploi,Report motivation,2013,vd1dhrs,164.612596557413,22.4888561619579,92.0557293054237,237.169463809402,87,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,*
94,94,95,Améliorer ses possibilités d'emploi,Do not report motivation,2013,vd1dhrs,169.889078176895,5.34500218272158,152.091478341927,187.686678011863,1651,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
