,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
66,67,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,134.890082781609,5.2799338467435595,120.931009299667,148.84915626355,1517,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
67,68,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,142.435301349515,12.402281129767099,107.81209362803301,177.05850907099702,423,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
68,69,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,144.826120323404,8.957690417912529,119.399359569111,170.252881077697,657,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
69,70,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,123.00993289861499,12.355810961190699,93.22068573909759,152.799180058133,253,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
70,71,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,139.887101213136,9.128811682552278,114.858302257301,164.91590016896998,647,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
71,72,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,124.77932740441999,17.6186152027529,81.6907156683043,167.867939140536,167,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,*
72,73,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,156.6797032998,9.79027085493251,126.61509579177,186.74431080783,417,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
73,74,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,156.983193313454,12.9518429339098,117.13278099162301,196.83360563528598,221,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
74,75,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,142.979057810141,7.28343413146787,122.568413292522,163.389702327761,1003,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
75,76,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,163.436738850455,11.578424857481,126.34755639066799,200.525921310243,722,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
76,77,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,161.762891432406,9.42583209575051,131.878343440366,191.647439424447,614,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
77,78,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,173.178774389309,9.972666924903551,139.32913338106198,207.028415397555,369,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
78,79,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,144.294107531801,6.8140619186654,125.02317357512501,163.565041488477,1220,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
79,80,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,124.944057800534,7.134558175509981,107.472534128162,142.41558147290598,720,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
80,81,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,150.715184888138,10.6719880088253,119.19052351270099,182.239846263576,520,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
81,82,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,122.29336923932199,9.1278749517759,100.414711067969,144.17202741067499,393,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
82,83,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,130.714112818094,9.583837105221921,106.160805812959,155.267419823229,514,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
83,84,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,148.091860766829,13.7356819684387,108.223396421173,187.960325112486,298,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
84,85,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,126.74147048712798,10.1384813869875,101.55659889949101,151.926342074765,331,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
85,86,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,188.21965704156503,11.243705813050198,146.741204772497,229.698109310634,306,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
86,87,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,133.702779380226,9.26144090900486,109.43292969685,157.972629063601,906,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
87,88,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,171.41528545478002,9.099427988208669,140.844138714047,201.986432195513,809,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
88,89,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,151.05105492459802,10.473428506863199,120.043985174325,182.05812467487098,511,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
89,90,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,178.17675217493598,9.03187967742532,146.635620416898,209.71788393297402,467,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
90,91,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,117.943557501203,7.931162347977249,99.6094761526161,136.27763884978998,986,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
91,92,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,154.998369753291,6.586170719249901,134.990161217322,175.00657828925898,962,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
92,93,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,135.133464888411,10.532439810687901,107.23758981828199,163.029339958541,444,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
93,94,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,140.746401329763,10.2016003793525,112.604483046133,168.888319613393,470,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
94,95,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,118.73869830962299,11.0423493800211,93.0405483712257,144.43684824802,447,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
95,96,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,168.674849392885,11.580401900371802,130.39043098048,206.95926780528998,370,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
96,97,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,160.404662725021,8.38338960439627,134.048345310519,186.76098013952202,530,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
97,98,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,129.427285164325,17.8391886495554,84.1741126909231,174.68045763772702,103,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,*
98,99,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,146.740738174017,6.52072727284434,127.986698654633,165.4947776934,1439,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
99,100,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,165.384073492061,16.5234392461271,111.823869355253,218.94427762886798,262,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,*
100,101,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,167.062333415712,7.903559895966111,141.183220652406,192.941446179018,816,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
101,102,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,153.579637585464,16.5087974602448,103.88641416092699,203.27286101000098,149,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,*
102,103,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,139.74552877378,5.858636844437769,123.69894488604099,155.79211266152,1585,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
103,104,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,129.918801309622,10.1068425008816,104.183124507714,155.65447811152902,341,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
104,105,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,144.62390802151,8.8713001860836,119.477528898608,169.770287144411,750,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
105,106,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,117.692610219023,14.7575486960186,83.6508889963457,151.734331441701,159,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
106,107,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,141.529493543584,8.75355586604271,117.24776769703399,165.811219390134,706,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
107,108,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,120.091666828195,20.6320039488323,71.52901700794379,168.654316648446,96,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,*
108,109,Raisons religieuses,Do not report motivation,2018,vd1dhrs,146.481004168346,9.445591381888141,119.362948150722,173.59906018597098,508,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
109,110,Raisons religieuses,Report motivation,2018,vd1dhrs,194.174211142957,14.721093835835,138.149487687715,250.1989345982,135,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
110,111,Raisons religieuses,Do not report motivation,2018,vd1dhrs,141.93523209237802,8.24782447654199,118.990778835669,164.879685349087,1365,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
111,112,Raisons religieuses,Report motivation,2018,vd1dhrs,192.859865583722,10.829643482586,151.923987511035,233.795743656409,349,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
