Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Marital status,Separated/divorced,2013,gs1datot,315.782533,9.164076023,259.0640145,372.5010515,395,Total amount of donations,Average total amount of donations,AT,NA,
Marital status,"Single, never married",2013,gs1datot,226.9198652,10.40646249,180.6366276,273.2031027,584,Total amount of donations,Average total amount of donations,AT,NA,
Marital status,Married/common-law,2013,gs1datot,847.9929321,9.948665949,682.6425617,1013.343302,920,Total amount of donations,Average total amount of donations,BC,NA,
Marital status,Widowed,2013,gs1datot,642.2740867,24.09414713,338.9687518,945.5794215,136,Total amount of donations,Average total amount of donations,BC,NA,*
Marital status,Separated/divorced,2013,gs1datot,486.6121755,17.65309728,318.2471127,654.9772384,164,Total amount of donations,Average total amount of donations,BC,NA,*
Marital status,"Single, never married",2013,gs1datot,335.4466852,15.63572796,232.6474931,438.2458773,274,Total amount of donations,Average total amount of donations,BC,NA,
Marital status,Married/common-law,2013,gs1datot,568.4246554,5.018624834,512.512565,624.3367457,1585,Total amount of donations,Average total amount of donations,ON,NA,
Marital status,Widowed,2013,gs1datot,1089.973925,24.37443038,569.2606195,1610.68723,237,Total amount of donations,Average total amount of donations,ON,NA,*
Marital status,Separated/divorced,2013,gs1datot,371.2079929,9.774830612,300.0907927,442.325193,302,Total amount of donations,Average total amount of donations,ON,NA,
Marital status,"Single, never married",2013,gs1datot,371.0566216,14.79737407,263.4415919,478.6716513,516,Total amount of donations,Average total amount of donations,ON,NA,
Marital status,Married/common-law,2013,gs1datot,826.2865267,10.16047351,661.738488,990.8345654,1109,Total amount of donations,Average total amount of donations,PR,NA,
