refDate,geo,valNormP_coreEmp_All,valNormP_govtEmp_All,valNormP_coreEmp_Sports,valNormP_coreEmp_Education,valNormP_govtEmp_Education,valNormP_coreEmp_Health,valNormP_govtEmp_Health,valNormP_coreEmp_SocServ,valNormP_govtEmp_SocServ,valNormP_coreEmp_Environment,valNormP_coreEmp_DevtHousing,valNormP_coreEmp_Advocacy,valNormP_coreEmp_Fdns,valNormP_coreEmp_International,valNormP_coreEmp_Religion,valNormP_coreEmp_ProfAssoc,valNormP_coreEmp_Other,valNorm_coreEmp_All,valNorm_govtEmp_All,valNorm_coreEmp_Sports,valNorm_coreEmp_Education,valNorm_govtEmp_Education,valNorm_coreEmp_Health,valNorm_govtEmp_Health,valNorm_coreEmp_SocServ,valNorm_govtEmp_SocServ,valNorm_coreEmp_Environment,valNorm_coreEmp_DevtHousing,valNorm_coreEmp_Advocacy,valNorm_coreEmp_Fdns,valNorm_coreEmp_International,valNorm_coreEmp_Religion,valNorm_coreEmp_ProfAssoc,valNorm_coreEmp_Other
2010-01-01,NB,1,1.0689655172413792,1,NA,1,1,1.1111111111111112,1,1.5,NA,NA,NA,NA,NA,1,1,1,12000,31000,1000,NA,8000,1000,20000,2000,3000,NA,NA,NA,NA,NA,2000,3000,1000
2010-01-01,QC,1.0740740740740742,1.0078740157480315,1,1.0526315789473684,1,1,1.01171875,1.1136363636363635,1.0303030303030303,NA,1,1,1,1,0.9285714285714286,1.105263157894737,1.2857142857142858,174000,384000,16000,20000,92000,3000,259000,49000,34000,NA,4000,2000,6000,1000,13000,42000,18000
2010-01-01,ON,1.0114942528735633,1.0066225165562914,0.9565217391304348,1.0454545454545454,1,0.9444444444444444,1.0156862745098039,1.24,1.0303030303030303,NA,1.1666666666666667,1,0.9,1,0.967741935483871,0.953125,0.9,264000,456000,22000,23000,165000,17000,259000,62000,34000,NA,7000,4000,9000,2000,30000,61000,27000
2010-01-01,MB,1.0714285714285714,1.0588235294117647,1,1.5,0.9230769230769231,1,1.0612244897959184,1,1.1666666666666667,NA,1,NA,1,NA,1.3333333333333333,1.2,1.5,30000,72000,3000,3000,12000,1000,52000,9000,7000,NA,1000,NA,1000,NA,4000,6000,3000
2010-01-01,SK,1.1176470588235294,1.0526315789473684,1,1,1.0714285714285714,1,1.0526315789473684,1.25,1.2,NA,NA,NA,1,NA,1,1,1.5,19000,60000,2000,1000,15000,1000,40000,5000,6000,NA,NA,NA,1000,NA,3000,4000,3000
2010-01-01,AB,1.0952380952380953,1.0242424242424242,1.1428571428571428,1.2,0.9772727272727273,1,1.0471698113207548,1,1.0769230769230769,NA,1,1,1,1,1,1.1176470588235294,1.3333333333333333,69000,169000,8000,6000,43000,2000,111000,12000,14000,NA,2000,1000,3000,1000,8000,19000,8000
2010-01-01,BC,1.1294117647058823,1.0520231213872833,1,1.0909090909090908,1.0740740740740742,1,1.0377358490566038,1.1764705882352942,1.0769230769230769,NA,1.3333333333333333,1,1,1,1.0909090909090908,1.1,1.5,96000,182000,9000,12000,58000,3000,110000,20000,14000,NA,4000,1000,3000,1000,12000,22000,9000
2010-01-01,YT,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-01,NT,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,NA,NA,NA,NA,2000,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-01,NU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01,CA,1.0971168437025796,1.036067892503536,1.0476190476190477,1.0952380952380953,1.0096385542168675,1.206896551724138,1.0463276836158193,1.232394366197183,1.0434782608695652,1,1.2222222222222223,1,1,1,0.987012987012987,1.04375,1.109375,723000,1465000,66000,69000,419000,35000,926000,175000,120000,1000,22000,10000,25000,5000,76000,167000,71000
2011-01-01,NL,1.1428571428571428,1.096774193548387,1,NA,1.2222222222222223,NA,1.1,2,0.6666666666666666,NA,NA,NA,NA,NA,1,1,1,8000,34000,1000,NA,11000,NA,22000,2000,2000,NA,NA,NA,NA,NA,1000,2000,1000
2011-01-01,PE,1,1.2857142857142858,NA,NA,1,NA,1.2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3000,9000,NA,NA,2000,NA,6000,1000,NA,NA,NA,NA,NA,NA,NA,1000,NA
2011-01-01,NS,1.0555555555555556,1.0416666666666667,0.5,1,1.0714285714285714,1,1.103448275862069,1,1.25,NA,NA,NA,1,NA,1,1,1,19000,50000,1000,1000,15000,2000,32000,4000,5000,NA,NA,NA,1000,NA,2000,5000,1000
2011-01-01,NB,1,1.0689655172413792,1,NA,1.125,1,1.1111111111111112,1.5,1,NA,NA,NA,NA,NA,1,1,1,12000,31000,1000,NA,9000,1000,20000,3000,2000,NA,NA,NA,NA,NA,2000,3000,1000
2011-01-01,QC,1.1111111111111112,1.020997375328084,1.0625,1.105263157894737,1.0217391304347827,1.3333333333333333,1.015625,1.1590909090909092,1.0303030303030303,NA,1,1,1,1,0.9285714285714286,1.131578947368421,1.2857142857142858,180000,389000,17000,21000,94000,4000,260000,51000,34000,NA,4000,2000,6000,1000,13000,43000,18000
2011-01-01,ON,1.0689655172413792,1.011037527593819,1.0434782608695652,1.0909090909090908,0.9818181818181818,1.2222222222222223,1.0274509803921568,1.34,1.0303030303030303,NA,1.3333333333333333,1,0.9,1,0.967741935483871,0.96875,0.9,279000,458000,24000,24000,162000,22000,262000,67000,34000,NA,8000,4000,9000,2000,30000,62000,27000
