,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
61,62,Pas les moyens de donner plus,Report barrier,2018,gs1datot,229.933131014607,5.31013153598743,206.002457419118,253.86380461009603,800,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
62,63,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,155.740825849643,5.97004681733744,137.517472289008,173.964179410278,516,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
63,64,Pas les moyens de donner plus,Report barrier,2018,gs1datot,138.84921081044902,5.2851213171674,124.466310595519,153.232111025379,781,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
64,65,Aucune sollicitation,Do not report barrier,2018,gs1datot,250.26233759308602,5.96471543874076,221.00510008754398,279.519575098629,554,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
65,66,Aucune sollicitation,Report barrier,2018,gs1datot,258.670868066535,10.2443311494665,206.73358583242802,310.608150300642,173,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
66,67,Aucune sollicitation,Do not report barrier,2018,gs1datot,204.98602743940498,3.5102746660999196,190.88296431437197,219.089090564439,1875,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
67,68,Aucune sollicitation,Report barrier,2018,gs1datot,175.092661100347,6.2212882131155895,153.74273600678998,196.442586193905,648,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
68,69,Aucune sollicitation,Do not report barrier,2018,gs1datot,227.777521743136,4.75050222068501,206.569582043053,248.98546144321898,864,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
69,70,Aucune sollicitation,Report barrier,2018,gs1datot,221.69551316607001,8.98412550684517,182.658120334572,260.732905997568,274,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
70,71,Aucune sollicitation,Do not report barrier,2018,gs1datot,240.51876709822497,3.5994603541612404,223.550618672268,257.486915524181,1863,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
71,72,Aucune sollicitation,Report barrier,2018,gs1datot,192.05484535146198,6.33519842988009,168.207854681024,215.901836021901,599,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
72,73,Aucune sollicitation,Do not report barrier,2018,gs1datot,252.884231374927,4.93627953636317,228.417858732989,277.350604016865,850,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
73,74,Aucune sollicitation,Report barrier,2018,gs1datot,220.384688539729,8.299270398569531,184.536317684904,256.233059394555,338,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
74,75,Aucune sollicitation,Do not report barrier,2018,gs1datot,148.21196397504102,4.4101873724330405,135.400805760868,161.023122189215,1046,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
75,76,Aucune sollicitation,Report barrier,2018,gs1datot,132.393270191539,10.2583198710857,105.774362046895,159.01217833618298,220,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
76,77,Ne savent pas où donner,Do not report barrier,2018,gs1datot,257.231978887319,5.34860314874707,230.26617166365102,284.197786110987,661,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
77,78,Ne savent pas où donner,Report barrier,2018,gs1datot,212.652288326683,21.6684829642557,122.340039122382,302.964537530983,66,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,*
78,79,Ne savent pas où donner,Do not report barrier,2018,gs1datot,202.33964842371498,3.16189540121922,189.800253487103,214.87904336032798,2252,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
79,80,Ne savent pas où donner,Report barrier,2018,gs1datot,161.50727483885902,10.7283524908878,127.54684218469102,195.467707493026,263,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
80,81,Ne savent pas où donner,Do not report barrier,2018,gs1datot,229.19248994234698,4.39087841178011,209.46826780410998,248.916712080584,1037,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
