geo,refDate,CommNPOs,GovNPOs,BusNPOs,TotNPOs,TotEcon
BC,2015-01-01,1.2211469534050179,1.2218200620475699,1.44264943457189,1.2469386499292352,1.2654418480262792
YT,2015-01-01,1.393939393939394,1.507936507936508,1.0833333333333333,1.4259259259259258,1.2335049134300422
NT,2015-01-01,1.3409090909090908,1.2904564315352698,1.302325581395349,1.295731707317073,1.1773067331670823
NU,2015-01-01,1.1025641025641026,0.7407407407407407,1.2272727272727273,0.9565217391304348,1.5741222366710013
CA,2016-01-01,1.3426380675553773,1.3128340192043895,1.3466112266112267,1.3209643878346764,1.2890543958190939
NL,2016-01-01,1.3520408163265305,1.2887864823348694,1.436046511627907,1.3046100818612667,1.2596515066741267
PE,2016-01-01,1.2586206896551724,2.5675675675675675,1.119047619047619,2.142857142857143,1.2914725541827021
NS,2016-01-01,1.304255319148936,1.2928596067609521,1.5223880597014925,1.3115204839153147,1.1883730895586344
NB,2016-01-01,1.2945205479452055,1.2227231740306583,1.3721804511278195,1.244236311239193,1.1873141038943074
QC,2016-01-01,1.2783459315251222,1.3259430687340894,1.314908524717789,1.3175333961145408,1.2652120174938202
ON,2016-01-01,1.365158924205379,1.298912356140129,1.2764475402699174,1.3087923967388857,1.3211716882114413
MB,2016-01-01,1.3949579831932772,1.3608303742146954,1.277922077922078,1.3601147776183644,1.3233830845771144
SK,2016-01-01,1.4669338677354709,1.351094470046083,1.1935483870967742,1.3529549170754496,1.259111399437763
AB,2016-01-01,1.4307616221562809,1.346631899174272,1.4188552188552188,1.3651745270450306,1.237757430555273
BC,2016-01-01,1.2921146953405018,1.2684419165804894,1.5164243403338717,1.3008430250446126,1.3316849918508016
YT,2016-01-01,1.4848484848484849,1.619047619047619,1.1666666666666667,1.5277777777777777,1.3051006083294339
NT,2016-01-01,1.3636363636363635,1.3651452282157677,1.3255813953488371,1.3597560975609757,1.1097256857855362
NU,2016-01-01,1.1282051282051282,0.7407407407407407,1.2727272727272727,0.9739130434782609,1.6788036410923277
CA,2017-01-01,1.389846647288764,1.344076817558299,1.416881496881497,1.3586073563815961,1.3623080770860938
NL,2017-01-01,1.4183673469387754,1.2908346134152586,1.5232558139534884,1.3188280913399397,1.3464151546638958
PE,2017-01-01,1.3103448275862069,2.6171171171171173,1.1904761904761905,2.1956521739130435,1.3753291472554183
NS,2017-01-01,1.3319148936170213,1.3094170403587444,1.6082089552238805,1.3343414902392081,1.2373660905584916
NB,2017-01-01,1.3527397260273972,1.2078449053201081,1.4360902255639099,1.2445965417867435,1.2391229162343502
QC,2017-01-01,1.3083592707870164,1.3625086785466327,1.3939275982872714,1.356911164591399,1.3268492108765926
ON,2017-01-01,1.421760391198044,1.3245541924876691,1.3339138006094906,1.34343047610468,1.378362663966678
MB,2017-01-01,1.4501800720288116,1.3977055449330784,1.2883116883116883,1.3980323836851813,1.401785538709614
SK,2017-01-01,1.5150300601202404,1.3836405529953917,1.2258064516129032,1.3872926886241532,1.3350133905550843
AB,2017-01-01,1.4648862512363996,1.393568013906997,1.4606060606060607,1.4098054889421796,1.3514966869099385
BC,2017-01-01,1.346953405017921,1.3040330920372285,1.650511577813678,1.3509937849978464,1.424384016469959
YT,2017-01-01,1.5151515151515151,1.7142857142857142,1.25,1.5925925925925926,1.3490875058493215
NT,2017-01-01,1.4318181818181819,1.3983402489626555,1.186046511627907,1.375,1.1538653366583542
NU,2017-01-01,1.205128205128205,0.7592592592592593,1.3181818181818181,1.017391304347826,1.97074122236671
CA,2018-01-01,1.457903177307808,1.402951989026063,1.4447401247401248,1.415940992981544,1.422787898689903
NL,2018-01-01,1.469387755102041,1.3538146441372247,1.5348837209302326,1.3774235243429556,1.3823435376868356
PE,2018-01-01,1.3793103448275863,2.7387387387387387,1.2380952380952381,2.298136645962733,1.4144217135912498
NS,2018-01-01,1.3851063829787233,1.402207657813039,1.5186567164179106,1.4085784987627166,1.2819597200399944
NB,2018-01-01,1.4006849315068493,1.2439134355275023,1.4022556390977443,1.2759365994236311,1.2851213944801827
QC,2018-01-01,1.3777234326367274,1.4331867623235361,1.4460879719735305,1.4256914652436259,1.3934366482854788
ON,2018-01-01,1.4984107579462103,1.3766915391425318,1.409664780148019,1.402526913202108,1.437048992433014
MB,2018-01-01,1.5006002400960383,1.4266593826823273,1.3142857142857143,1.4302111088337774,1.4428253986982085
SK,2018-01-01,1.559118236472946,1.4167626728110598,1.232258064516129,1.419761737911703,1.3918192857261673
AB,2018-01-01,1.5192878338278932,1.4465015210777923,1.4632996632996633,1.457966959765521,1.4080531070642646
BC,2018-01-01,1.4118279569892473,1.3771975180972078,1.5772751750134626,1.4060057842594302,1.5006231739992633
YT,2018-01-01,1.4848484848484849,1.7619047619047619,1.25,1.6203703703703705,1.400561534861956
NT,2018-01-01,1.5454545454545454,1.4315352697095436,1.2093023255813953,1.4176829268292683,1.174064837905237
NU,2018-01-01,1.358974358974359,0.7592592592592593,1.2727272727272727,1.0608695652173914,2.059817945383615
CA,2019-01-01,1.529367545354315,1.457514403292181,1.576049896049896,1.4807398622303094,1.4723559726958113
NL,2019-01-01,1.4846938775510203,1.3712237583205324,1.6627906976744187,1.4028436018957346,1.4315002797538166
PE,2019-01-01,1.4827586206896552,2.8378378378378377,1.2380952380952381,2.3850931677018634,1.5069880494227264
NS,2019-01-01,1.446808510638298,1.407381855812349,1.6529850746268657,1.4305746494363487,1.3379231538351664
NB,2019-01-01,1.4726027397260273,1.28809738503156,1.5639097744360901,1.3339337175792507,1.3162135989486061
QC,2019-01-01,1.4335260115606936,1.5014579958342975,1.6087971973530557,1.5004708590561893,1.4572352158204982
ON,2019-01-01,1.5712713936430318,1.4339509295560895,1.5293861558554636,1.4691230124769155,1.492385396669457
MB,2019-01-01,1.5498199279711884,1.4597104616225076,1.4337662337662338,1.473047755687641,1.4674847108331859
SK,2019-01-01,1.6212424849699398,1.439516129032258,1.293548387096774,1.4501284746554544,1.4056090623284596
AB,2019-01-01,1.6162215628091,1.4714471968709257,1.5474747474747474,1.4984012789768186,1.4322596128423424
BC,2019-01-01,1.4985663082437275,1.4669941399517408,1.7458266020463113,1.5042766598978525,1.5591611623835018
YT,2019-01-01,1.5151515151515151,1.7142857142857142,1.4166666666666667,1.6203703703703705,1.4394010294805804
NT,2019-01-01,1.6363636363636365,1.3900414937759336,1.302325581395349,1.4085365853658536,1.1645885286783042
NU,2019-01-01,1.5384615384615385,0.7777777777777778,1.3636363636363635,1.1391304347826088,2.330299089726918
CA,2020-01-01,1.5129297383983162,1.5303813443072702,1.4491476091476092,1.5196175591369898,1.4062452667605996
NL,2020-01-01,1.4234693877551021,1.4126984126984128,1.494186046511628,1.4196467040068936,1.2883462552953402
PE,2020-01-01,1.5344827586206897,2.990990990990991,1.1666666666666667,2.4906832298136647,1.5284585780838567
NS,2020-01-01,1.4659574468085106,1.4856847188685753,1.5708955223880596,1.4894143524883146,1.337608913012427
NB,2020-01-01,1.4349315068493151,1.314697926059513,1.443609022556391,1.3396974063400577,1.2950473818911254
QC,2020-01-01,1.4466429524232993,1.6186993751446423,1.4694433631763333,1.5783893132433469,1.4293528554224504
ON,2020-01-01,1.5485330073349632,1.4930757556595422,1.4220722681758815,1.495946128552768,1.4485389819237755
MB,2020-01-01,1.5234093637454982,1.5266320677410543,1.2571428571428571,1.5048165607706496,1.4479971683086543
SK,2020-01-01,1.6272545090180361,1.4939516129032258,1.264516129032258,1.4928754963793507,1.2983349135851756
AB,2020-01-01,1.5178041543026706,1.4824858757062147,1.360942760942761,1.4752198241406875,1.206794580280911
BC,2020-01-01,1.5043010752688173,1.5752326783867632,1.6219709208400646,1.5683342563534552,1.548837162363318
YT,2020-01-01,1.606060606060606,1.7777777777777777,1.1666666666666667,1.6574074074074074,1.516612072999532
NT,2020-01-01,1.6363636363636365,1.4439834024896265,1.2790697674418605,1.4481707317073171,1.0336658354114714
