Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Labour force status,Unable to determine,2013,fv1fvol,0.4381572756904512,19.718883568175727,0.2688169302599897,0.6074976211209127,56,Formal volunteer flag,Volunteer rate,46,MB,*
Labour force status,Employed,2013,fv1fvol,0.6005499484182153,3.832274507807604,0.5554419210474639,0.6456579757889667,566,Formal volunteer flag,Volunteer rate,47,SK,
Labour force status,Unemployed,2013,fv1fvol,0.44877490467768266,27.315756638862744,0.2085102484748828,0.6890395608804825,26,Formal volunteer flag,Volunteer rate,47,SK,*
Labour force status,Not in labour force,2013,fv1fvol,0.48058496887442365,8.12858214092327,0.40401947766344415,0.5571504600854031,336,Formal volunteer flag,Volunteer rate,47,SK,
Labour force status,Unable to determine,2013,fv1fvol,0.6532297288904784,12.324686005208578,0.4954359430038865,0.8110235147770702,40,Formal volunteer flag,Volunteer rate,47,SK,
Labour force status,Employed,2013,fv1fvol,0.5198603414616101,4.4522654713717085,0.47449587259447795,0.5652248103287422,653,Formal volunteer flag,Volunteer rate,48,AB,
Labour force status,Unemployed,2013,fv1fvol,0.5450143976230934,22.24474392030896,0.30739413215452643,0.7826346630916605,24,Formal volunteer flag,Volunteer rate,48,AB,*
Labour force status,Not in labour force,2013,fv1fvol,0.4267224420478174,7.859219628000143,0.3609910242121326,0.4924538598835022,292,Formal volunteer flag,Volunteer rate,48,AB,
Labour force status,Unable to determine,2013,fv1fvol,0.569547123726276,13.08710628775344,0.42345682283500097,0.7156374246175511,69,Formal volunteer flag,Volunteer rate,48,AB,
Labour force status,Employed,2013,fv1fvol,0.5284351722425628,4.100361685722429,0.48596715607709506,0.5709031884080304,933,Formal volunteer flag,Volunteer rate,59,BC,
Labour force status,Unemployed,2013,fv1fvol,0.47865261044881846,20.987183893385104,0.28176304941903835,0.6755421714785985,51,Formal volunteer flag,Volunteer rate,59,BC,*
Labour force status,Not in labour force,2013,fv1fvol,0.4333893013365689,5.755177289329314,0.38450324726177687,0.4822753554113609,711,Formal volunteer flag,Volunteer rate,59,BC,
Labour force status,Unable to determine,2013,fv1fvol,0.5007368136515165,11.930183753234562,0.3836508740747805,0.6178227532282524,123,Formal volunteer flag,Volunteer rate,59,BC,
Family income category,"Less than $20,000",2013,fv1fvol,0.3258070636730946,17.60178007939187,0.21340735713354086,0.4382067702126483,84,Formal volunteer flag,Volunteer rate,10,NL,*
Family income category,"$20,000 to $39,999",2013,fv1fvol,0.35145072686274564,12.908346598603435,0.26253406398167667,0.4403673897438146,150,Formal volunteer flag,Volunteer rate,10,NL,
Family income category,"$40,000 to $59,999",2013,fv1fvol,0.3358116280501569,13.36813165676679,0.24782543335614599,0.42379782274416783,146,Formal volunteer flag,Volunteer rate,10,NL,
Family income category,"$60,000 to $79,999",2013,fv1fvol,0.505775618199182,11.29095193331674,0.393848186324843,0.6177030500735211,109,Formal volunteer flag,Volunteer rate,10,NL,
Family income category,"$80,000 to $99,999",2013,fv1fvol,0.47619222605399913,12.65859671478437,0.35804706021171157,0.5943373918962866,94,Formal volunteer flag,Volunteer rate,10,NL,
Family income category,"$100,000 to $119,999",2013,fv1fvol,0.5971833523788652,11.748378525060396,0.4596735321773272,0.7346931725804032,67,Formal volunteer flag,Volunteer rate,10,NL,
Family income category,"$120,000 to $139,999",2013,fv1fvol,0.4774228784881714,18.040276353669405,0.3086143033987291,0.6462314535776137,52,Formal volunteer flag,Volunteer rate,10,NL,*
Family income category,"$140,000 or more",2013,fv1fvol,0.625533469479792,8.62718484771383,0.5197621928427105,0.7313047461168736,129,Formal volunteer flag,Volunteer rate,10,NL,
Family income category,"Less than $20,000",2013,fv1fvol,0.3325111713743454,18.27813381283759,0.21339076006106283,0.45163158268762793,100,Formal volunteer flag,Volunteer rate,11,PE,*
Family income category,"$20,000 to $39,999",2013,fv1fvol,0.4443901258991706,10.215396599882794,0.3554151817945061,0.533365070003835,174,Formal volunteer flag,Volunteer rate,11,PE,
